index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
58,"In a business meeting, the representative of Company A proposes a cooperation suggestion. After listening, the representative of Company B feels this is not the direction they currently want, but he does not directly refuse, instead, he says they will seriously consider. After the meeting, the representative of Company B privately tells the representative of Company A that their proposal does not quite match the long-term strategy of Company B.",Why does the representative of Company B say this?,The representative of Company B says this because he is afraid of the representative of Company A and dares not directly refuse their proposal.,The representative of Company B says this because he wants to maintain the harmony between the two companies and avoid causing embarrassment or conflict by directly refusing the proposal at the meeting.,The representative of Company B says this because he has no interest in the proposal and just wants to end the meeting quickly.,"The representative of Company B says this because he wants to please Company A, hoping they can give more support on other projects.",B,Strange Story Task
59,"Xiao Ming and Xiao Li are wandering in the basement, they see a backpack and a box, they find tape in the backpack, Xiao Li leaves the basement, Xiao Ming moves the tape to the box.","After Xiao Li returns to the basement, where does Xiao Li look for the tape?",Drawer,Box,Cabinet,Backpack,D,False Belief Task
60,"Lucy and her friends are drinking in a bar. When her friend asks her if she wants a fourth drink, she replies, ""I really like the yoga class tomorrow morning.""",What does Lucy really mean when she says this?,Lucy looks forward to the yoga class tomorrow,Lucy wants to drink more to relax her body for the yoga class tomorrow,Lucy implies she does not want to drink anymore to affect the yoga class tomorrow,Lucy wants to tell her friends she is a yoga enthusiast,C,Hinting Task Test
61,"The Mid-Autumn Festival is coming soon, and mom asks Xiao Mei to help make some mooncakes, saying that Uncle Wang comes to visit at noon on Sunday. Xiao Mei happily makes some exquisite five-nut mooncakes, and mom also makes lotus seed paste mooncakes and egg yolk mooncakes. She wants to take out these mooncakes for him to taste when Uncle Wang comes. At noon on Sunday, Uncle Wang arrives on time. Xiao Mei brings out a large plate of mooncakes she makes from the kitchen and smiles at Uncle Wang, saying, ""Uncle, here are the mooncakes I make especially for you."" Uncle Wang looks at the array of mooncakes and says, ""I like five-nut mooncakes the most, Xiao Mei, I eat all the ones you make."" Xiao Mei says, ""Uncle, please taste these mooncakes, I believe you like them."" Mom quickly takes out some more mooncakes and says, ""We also have mooncakes of various flavors here, lotus seed paste, egg yolk, please taste a few that Uncle Wang likes.""","If there is, which sentence is inappropriate?","Uncle, here are the mooncakes I make especially for you.","I like five-nut mooncakes the most, Xiao Mei, I eat all of yours.","We also have mooncakes of various flavors here, lotus seed paste, egg yolk, please taste a few that Uncle Wang likes.",There is no inappropriate sentence.,D,Faux-pas Recognition Test
62,"Zhang Wei finds 20 science books in the library, he tells Zhao Min that only a part is about physics, most are about mathematics, and there are very few biology books. Zhao Min counts and finds that 14 are about mathematics.",Please guess how many are about physics after Zhao Min counts?,"After Zhao Min counts, she guesses there are 4 about physics.","After Zhao Min counts, she guesses there are 6 about physics.","After Zhao Min counts, she guesses there are 7 about physics.","After Zhao Min counts, she guesses there are 2 about physics.",A,Scalar Implicature Test
63,"Wang Qiang's friends play together, tell jokes. One of the older children tells a joke, everyone else finds it interesting. Wang Qiang listens to this joke, but he does not understand. But he does not want the other children to know he does not understand, lest they think he is stupid.",Why does Wang Qiang appear to be happy?,Because he likes to listen to jokes,Because he feels disappointed about the joke,In order not to let other children think he is stupid,Because he tells a better joke,C,Hidden emotions
64,"Zhang Wei and Li Hua have a dispute before. Zhang Wei accidentally spills the drink at the community gathering, wetting Li Hua's clothes. Li Hua does not get angry, but uses this incident to resolve their conflict, showing understanding and tolerance.",What kind of reaction does Zhang Wei have at this time?,Care,Grateful,Embarrassed,Satisfied,B,Unexpected Outcome Test
65,"In the company annual meeting lottery segment, the ordinary employee Zhang Wei unexpectedly draws the first prize, this is a brand new car.","Zhang Wei should feel very surprised, but he feels ashamed, why?","Zhang Wei experiences many failures recently, so he thinks he does not deserve such a reward, getting such a reward makes him feel ashamed.","Zhang Wei deliberately manipulates the lottery program in advance, although he is not discovered, he knows this behavior is not honorable.","The company just passes a regulation recently, prohibiting employees from accepting gifts over a certain value, Zhang Wei worries that this car makes him struggle whether to accept this car or not.","Zhang Wei is actually not interested in cars, he hopes to get the bonus and extra vacation provided by the company more.",B,Unexpected Outcome Test
66,"On Friday afternoon, the company announces the list of outstanding employees for this month, and Xiao Zhang finds out that he receives this honor. Xiao Zhang excitedly comes to the office, sees Xiao Wu is organizing files, and happily says, ""Xiao Wu, I am selected as the outstanding employee of this month, your advice really helps!"" Xiao Wu smiles and replies, ""Congratulations, Xiao Zhang. You do a great job this month."" The manager comes over and says, ""Xiao Zhang, you perform well, keep it up."" Xiao Zhang says to Xiao Wu, ""I think everyone in our team is excellent, I hope you also receive this honor next month."" Xiao Wu smiles, nods, and continues to work.","If there is, which sentence is inappropriate?","Xiao Wu, I am selected as the outstanding employee of this month, your advice really helps!","Congratulations, Xiao Zhang. You do a great job this month.","I think everyone in our team is excellent, I hope you also get this honor next month.",There is no inappropriate sentence,D,Faux-pas Recognition Test
67,"Su Qing is a writer, she just finishes her first novel. At the new book launch, Su Qing unexpectedly sees her junior high school math teacher, Teacher Zhang, at the scene.",What reaction does Su Qing have when she sees Teacher Zhang?,Proud,Surprise,Embarrassed,Angry,B,Unexpected Outcome Test
68,"Bai Ruo is a new employee, Tian Qi is the department manager, and Zhi Hong is Tian Qi's friend. During the company's lunch time, the spirited Tian Qi invites Bai Ruo and Zhi Hong to have lunch together. At the meal, Tian Qi implies that Zhi Hong's conditions are very good. After the meal, Zhi Hong quietly opens the folder, takes out a bunch of roses and gives them to Tian Qi, then smiles slightly at Tian Qi and leaves for some unknown reason. Tian Qi smiles and takes the roses, turns around and walks towards Bai Ruo, and gives the roses to Bai Ruo. Bai Ruo takes the roses and looks at Tian Qi and Zhi Hong in confusion.",Why does Zhi Hong give that bunch of roses to Tian Qi?,Zhi Hong wants to express his feelings to Bai Ruo through Tian Qi.,"Zhi Hong wants to pursue Tian Qi, so he gives him roses.",The bunch of roses is originally what Tian Qi asks Zhi Hong to buy on his behalf.,Someone else asks Zhi Hong to pass the roses to Tian Qi.,A,Ambiguous Story Task
69,"After school on Friday, Xiao Li and Xiao Qiang also plan to go to the library for review together. Xiao Qiang originally has a plan to watch a movie with friends, but he cancels it to accompany Xiao Li for review. When they get to the library, Xiao Li sees Xiao Qiang and says, ""Thank you for coming for me."" Xiao Qiang replies, ""It's okay, I think helping you is more important."" Xiao Fang continues to say, ""I hope the review is fruitful today."" The two start reviewing efficiently together.",What plan does Xiao Qiang cancel for Xiao Li?,To watch a movie,To play games,To go to a party,To read a book,A,Faux-pas Recognition Test
